PID,contestant,Age,Sex,Birthday,Season,Finish,Day 1 Filming date,Days,SurvAv,SurvSc,NoJ,ChW%,InChW%,TChW%,SO,TC%,wTCR,VFB%,nVFB%,VAT%,JV%,Exile,Time
BSBT98930452335812,Mr Joshua Harris,29.2,Sex 2,1979-03-28,17,6,2008-06-23,36.0,2.34,0.96,2.34,0.07,0.00,0.214,0,0.9,1.70,0.91,0.09,0.36,0.0,0,1
BSDO33495627744892,Kathryn Stevenson,101.5,Sex 1,,3,10,2001-07-11,21.0,1.74,0.72,1.74,0.31,0.00,0.455,0,0.41,0.88,0.50,0.50,0.75,0.0,0,1
BSEF63162224374797,Annette Heath,63.1,Sex 2,1937-01-28,1,16,2000-03-13,3.0,0.00,-0.5,0.00,0.0,#DIV/0!,0.000,0,-0.5,0.00,0.00,1.00,1.00,0.0,0,1
BSTA40261733364600,Dr Annette Chapman,40.2,Sex 1,1964-03-28,9,9,2004-06-26,24.0,3.37,0.99,3.77,0.35,0.25,0.538,1,0.64,1.70,0.67,0.33,0.17,0.0,0,1
BUKD84948478096031,Jane Lloyd,,Sex 2,,16,12,,20.0,1.91,0.71,1.91,0.148,0.00,0.250,1,0.57,1.53,0.60,0.40,0.40,0.0,2,1
BUMU84125227791874,Denis Jones,,Sex 1,,15,13,,12.0,1.27,0.54,1.27,0.3,#DIV/0!,0.286,0,0.24,0.93,0.33,0.67,0.67,0.0,0,1
BVIS79101467357504,Dr Sara Steele,,Sex 1,,16,18,,8.0,2.62,1.19,2.62,0.853,1.00,0.500,0,0.34,1.40,0.50,0.50,0.50,0.0,0,2
BVIS79101467357504,Dr Sara Steele,54.5,Sex 1,1952-08-26,14,4,2007-02-08,38.0,6.93,1.17,6.93,0.38,0.33,0.313,1,0.79,2.49,0.80,0.20,0.40,0.0,4,1
BVNJ07910751053356,Holly Richards-Edwards,38.1,Sex 2,1962-02-07,1,10,2000-03-13,21.0,3.85,1.12,3.85,0.4,0.00,0.545,0,0.72,2.63,0.75,0.25,0.25,0.0,0,1
BVRH05974070767681,Robin Dunn,,Sex 2,,29,5,,37.5,2.30,0.75,2.30,0.1,0.09,0.200,0,0.65,0.93,0.67,0.33,0.50,0.0,1,1
BVTU09247366023009,Mrs Amber Newton,0.0,Sex 2,,32,9,,24.0,3.27,0.84,3.27,0.24,0.00,0.600,1,0.6,2.07,0.67,0.33,0.67,0.0,0,1
BVTU09247366023009,Mrs Amber Newton,,Sex 2,,34,11,,26.0,3.32,1.04,3.32,0.2,0.00,0.600,0,0.84,2.40,0.86,0.14,0.43,0.0,3,2
BVZO78471473007647,Kevin Garner,23.4,Sex 2,1977-05-28,2,4,2000-10-23,39.0,2.35,0.52,2.35,0.08,0.00,0.545,0,0.44,1.38,0.44,0.56,1.00,0.0,0,1
BWAH40930270828931,Mr Gareth Bentley,,Sex 2,,38,16,,35.0,0.00,-0.44,0.00,0.0,0.00,0.000,0,-0.44,0.00,0.00,1.00,,0.0,32,1
BYPD03088924382432,Gail Lee,,Sex 1,,36,14,,19.0,2.23,0.99,2.23,0.44,#DIV/0!,0.400,0,0.55,1.56,0.67,0.33,,0.0,0,1
BYWE24251659490908,Mr Antony Wilson,30.3,Sex 1,1969-11-27,1,5,2000-03-13,36.0,3.30,0.78,3.30,0.13,0.08,0.455,0,0.65,1.44,0.67,0.33,0.44,0.0,0,1
BZSV63756986642481,Mrs Lynne Singh,,Sex 1,,18,14,,9.0,1.53,0.53,1.53,0.23,#DIV/0!,0.250,0,0.3,1.40,0.50,0.50,0.50,0.0,0,1
CDQC41333752046947,Olivia Jones,103.5,Sex 2,,7,4,2003-06-23,37.0,6.06,1.01,6.06,0.317,0.30,0.357,0,0.69,1.96,0.70,0.30,0.30,0.0,0,1
CFTF95145474582007,Duncan Williams,,Sex 1,,21,19,,6.0,0.10,-0.23,0.10,0.47,#DIV/0!,0.500,0,-0.7,0.00,0.00,1.00,1.00,0.0,0,1
CGLS42938917058053,Diane Foster-West,23.2,Sex 1,1981-08-24,10,3,2004-11-01,38.0,8.50,1.25,8.50,0.4,0.40,0.467,5,0.85,3.00,0.86,0.14,0.43,0.0,0,1
CHAM73888216708331,Dr Jeremy Allen,23.6,Sex 1,1977-04-02,2,7,2000-10-23,30.0,3.72,0.77,3.72,0.28,0.20,0.545,0,0.49,1.75,0.50,0.50,1.00,0.0,0,1
CHRS17753091186219,Olivia Smith-Ashton,,Sex 2,,39,14,,19.0,2.03,0.73,2.03,0.43,#DIV/0!,0.444,0,0.31,1.56,0.33,0.67,,0.0,0,1
CIVB04824803715173,Edward Lee,,Sex 1,,36,13,,22.0,1.29,-0.32,1.29,0.45,0.00,0.727,0,-0.77,0.00,0.00,1.00,,0.0,0,1
CKXB66005277347123,Elizabeth Davies,,Sex 2,,4,7,,30.0,4.88,0.93,4.88,0.36,0.33,0.545,3,0.58,1.87,0.60,0.40,0.20,0.0,0,1
COPL86618305770273,Anthony Payne-Taylor,,Sex 1,,28,9,,25.0,2.91,0.84,2.91,0.28,0.00,0.636,0,0.56,1.40,0.60,0.40,0.60,0.0,0,1
COZT67212780805376,Jake Powell,,Sex 2,,39,10,,27.0,4.50,1.09,4.50,0.38,0.33,0.500,0,0.71,2.86,0.71,0.29,,0.0,0,1
CPZU09796035732473,Duncan Simpson,36.1,Sex 2,1970-05-08,13,10,2006-06-26,24.0,2.94,1.05,2.94,0.234,#DIV/0!,0.357,3,0.81,2.33,0.83,0.17,0.33,0.0,0,1
CRCR18452006767678,Dr Albert Singh,,Sex 2,,36,7,,35.0,3.75,0.77,3.75,0.18,0.14,0.308,0,0.59,2.10,0.60,0.40,,0.0,1,1
CREH64194096260268,Darren Graham,,Sex 2,,39,19,,6.0,0.10,-0.23,0.10,0.47,#DIV/0!,0.500,0,-0.7,0.00,0.00,1.00,,0.0,0,1
CRMP50910232193097,Graham Howells,,Sex 2,,4,8,,27.0,2.71,0.84,2.71,0.15,0.00,0.545,2,0.69,1.75,0.75,0.25,0.50,0.0,0,1
CTAQ77403835967779,Ann Smith,105.5,Sex 1,,11,8,2005-06-27,27.0,3.33,1.07,3.33,0.233,0.20,0.308,1,0.83,1.71,0.86,0.14,0.29,0.0,0,1
CULG36791184751352,Ms Sarah Hughes,27.8,Sex 1,1980-09-03,17,12,2008-06-23,21.0,2.21,0.7,2.21,0.13,0.00,0.273,0,0.57,1.87,0.60,0.40,0.40,0.0,0,1
CZWE42898510322599,Adrian Hussain,0.0,Sex 2,,32,4,,37.0,4.38,0.93,4.38,0.16,0.10,0.250,0,0.77,2.42,0.78,0.22,0.22,0.0,0,1
DCOY78772719697760,Beth Evans,,Sex 1,,23,3,,39.0,6.28,0.99,6.28,0.14,0.10,0.571,0,0.85,4.74,0.85,0.15,0.08,0.0,0,1
DDCM81242969336842,Mrs Anne Edwards,,Sex 1,,19,14,,15.0,1.95,1.1,1.95,0.84,#DIV/0!,0.833,1,0.26,1.08,0.50,0.50,0.50,0.0,0,1
DDCM81242969336842,Mr Charlie Bolton,,Sex 1,,25,15,,10.0,2.63,0.69,2.63,0.0,#DIV/0!,0.000,0,0.69,2.63,0.75,0.25,0.75,0.0,0,2
DDOV94984661273792,Dr Antony Young,,Sex 2,,6,15,,6.0,0.27,0.03,0.27,0.65,#DIV/0!,0.667,0,-0.63,0.00,0.00,1.00,-6.00,0.0,0,1
DEPE42473642847529,Ben Watts,,Sex 1,,15,9,,24.0,2.61,0.98,2.61,0.32,0.00,0.636,2,0.66,1.31,0.75,0.25,1.00,0.0,0,1
DFRB93067470081268,Georgina Wells,34.8,Sex 2,1971-08-31,13,11,2006-06-26,24.0,2.80,0.99,2.80,0.181,#DIV/0!,0.214,2,0.81,2.33,0.83,0.17,0.17,0.0,0,1
DGJJ12020777272254,Louise Cook,25.6,Sex 2,1979-12-06,11,2,2005-06-27,39.0,7.39,1.27,6.54,0.134,0.08,0.385,1,1.0,4.67,1.00,0.00,0.17,0.14,0,2
DGJJ12020777272254,Louise Cook,24.9,Sex 2,1979-12-06,10,7,2004-11-01,30.0,2.07,0.72,2.07,0.07,0.00,0.200,0,0.65,1.56,0.67,0.33,0.33,0.0,0,1
DGJJ12020777272254,Louise Cook,,Sex 2,1979-12-06,20,19,,6.0,1.50,0.65,1.50,0.31,#DIV/0!,0.333,0,0.34,1.40,0.50,0.50,0.50,0.0,0,3
DGNU98651468806121,Dorothy Lambert,0.0,Sex 1,,32,10,,22.0,2.32,0.01,2.32,0.61,0.50,0.556,0,-0.6,0.00,0.00,1.00,1.00,0.0,0,1
DJSI56966325230820,Jodie Davies,,Sex 1,,30,7,,32.0,3.33,0.59,3.33,0.23,0.1428571429,0.417,1,0.37,1.17,0.38,0.63,0.25,0.0,0,1
DJXE83670675244887,Ms Alexandra Black,,Sex 2,,30,16,,8.0,0.17,0.11,0.17,0.29,0,0.333,1,-0.18,0.00,0.00,1.00,1.00,0.0,0,1
DMIA75574317849230,Melissa Bailey,,Sex 1,,29,15,,10.5,0.36,0.13,0.36,0.68,#DIV/0!,0.750,0,-0.56,0.00,0.00,1.00,1.00,0.0,1,1
DOJC30394858026482,Julia Arnold,,Sex 1,1959-03-31,20,18,,8.0,0.10,-0.68,0.10,0.22,#DIV/0!,0.250,1,-0.9,0.00,0.00,1.00,1.00,0.0,0,3
DOJC30394858026482,Julia Arnold,49.2,Sex 1,1959-03-31,17,8,2008-06-23,30.0,2.97,0.72,2.97,0.34,0.00,0.769,0,0.38,1.24,0.40,0.60,0.20,0.0,0,1
DOJM64202726541945,Mr Joel Morris,24.1,Sex 1,1981-05-05,11,14,2005-06-27,14.0,2.45,1.12,2.45,0.779,#DIV/0!,0.778,0,0.34,1.56,0.50,0.50,0.50,0.0,0,1
DOMY25451970852908,Dr David Butler,,Sex 1,,19,9,,30.0,2.96,0.71,2.96,0.34,0.25,0.600,2,0.37,1.02,0.40,0.60,0.20,0.0,0,1
DQRB01701898896911,Dr Alice Sutton,,Sex 1,,38,2,,39.0,10.58,1.24,8.73,0.26,0.23,0.333,0,0.67,4.67,0.67,0.33,,0.3076923077,0,1
DRWN18270822960621,Mitchell Taylor,31.1,Sex 1,1973-05-13,9,16,2004-06-26,7.0,0.25,0.02,0.25,0.17,0.00,0.500,0,-0.15,0.00,0.00,1.00,0.50,0.0,0,1
DTCJ86203546354645,Jenna Williams,,Sex 2,,25,12,,16.0,2.02,0.48,2.02,0.16,#DIV/0!,0.125,2,0.32,1.75,0.50,0.50,0.50,0.0,0,1
DTLE81861401130529,Ms Jessica Mason,,Sex 2,1984-05-11,18,11,,18.0,3.42,1.19,3.22,0.33,#DIV/0!,0.400,0,0.71,2.63,0.75,0.25,0.50,0.0,0,1
DULH87116177724012,Liam Holt-Smith,29.6,Sex 1,1976-11-23,13,12,2006-06-26,21.0,2.13,0.86,2.13,0.412,#DIV/0!,0.417,1,0.44,1.27,0.50,0.50,0.25,0.0,0,1
DVOL42936560520943,Owen Harris,,Sex 2,,4,13,,12.0,1.40,0.64,1.40,0.0,#DIV/0!,0.000,0,0.64,1.40,0.75,0.25,1.00,0.0,0,1
DVPR11096035112292,Marian Dawson,,Sex 2,,39,3,,39.0,5.70,1.1,5.70,0.33,0.33,0.364,1,0.77,2.18,0.78,0.22,,0.0,0,1
EALE54359195120536,Leah Shah,63.5,Sex 1,1942-01-07,11,18,2005-06-27,3.0,0.11,-0.39,0.11,0.5,#DIV/0!,0.500,0,-0.89,0.00,0.00,1.00,1.00,0.0,0,1
EBZB62780213486659,Brandon Law,,Sex 2,,29,2,,39.5,6.15,1.04,4.65,0.1,0.08,0.200,0,0.69,3.23,0.69,0.31,0.23,0.25,2,1
EDOD77359186104052,Mr Mohamed Ellis,,Sex 2,,30,2,,39.0,7.10,1.21,6.35,0.28,0.1818181818,0.462,0,0.81,2.55,0.82,0.18,0.36,0.125,0,1
EERR22247716169517,Mr Wayne Hunter,,Sex 2,,15,3,,39.0,12.13,1.46,11.27,0.32,0.27,0.583,2,1.0,7.00,1.00,0.00,0.00,0.14,0,1
EERR22247716169517,Mr Wayne Hunter,,Sex 2,,16,2,,39.0,11.60,1.54,9.35,0.24,0.20,0.429,0,0.92,6.46,0.92,0.08,0.08,0.38,2,2
EERR22247716169517,Mr Wayne Hunter,,Sex 2,,20,9,,30.0,2.70,0.83,2.70,0.28,0.00,0.533,0,0.55,1.14,0.57,0.43,0.43,0.0,0,2
EGIX23646177891119,Mrs Ruth Watts,,Sex 2,,19,18,,6.0,0.00,-0.19,0.00,0.0,#DIV/0!,0.000,0,-0.19,0.00,0.00,1.00,0.50,0.0,0,1
EJAS64439817153628,Dr Vincent Frost,,Sex 2,,25,14,,12.0,0.52,-0.53,0.52,0.47,#DIV/0!,0.400,1,-1.0,0.00,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0,1
EJMF10881106099896,Susan Leach,,Sex 2,,36,11,,27.0,1.78,0.72,1.78,0.09,0.00,0.231,1,0.64,1.33,0.67,0.33,,0.0,0,1
EJPM01524637904605,Liam Morgan,,Sex 2,,20,17,,11.0,2.89,0.94,2.89,0.31,#DIV/0!,0.333,1,0.63,2.67,0.67,0.33,0.33,0.0,0,3
EJPM01524637904605,Liam Morgan,,Sex 2,,34,6,,36.0,4.37,0.58,4.37,0.08,0.00,0.385,2,0.5,3.50,0.50,0.50,0.50,0.0,0,4
EJPM01524637904605,Liam Morgan,,Sex 2,,16,3,,38.0,4.02,0.9,4.02,0.054,0.00,0.357,1,0.84,3.38,0.85,0.15,0.23,0.0,3,2
EJPM01524637904605,Liam Morgan,,Sex 2,,12,4,,36.0,4.82,0.91,4.82,0.135,0.11,0.308,3,0.77,3.11,0.78,0.22,0.22,0.0,0,1
EJRI51408628744497,Joyce Watson-Elliott,33.3,Sex 1,1971-02-19,9,13,2004-06-26,12.0,0.25,0.82,2.35,0.12,0.00,0.250,1,0.7,2.10,0.75,0.25,0.25,0.0,0,1
EKLU09964683659301,Mr Glenn Lawrence,,Sex 1,,21,16,,14.0,2.34,1.05,2.34,0.34,#DIV/0!,0.333,0,0.71,2.10,0.75,0.25,0.25,0.0,0,1
EKQT97265450310360,Arthur Jones-Fleming,,Sex 2,,5,9,,24.0,4.14,1.22,4.14,0.444,#DIV/0!,0.500,2,0.78,3.20,0.80,0.20,0.20,0.0,0,1
ELBX10638569998561,Patrick Stone-Harrison,,Sex 1,,30,6,,35.0,2.32,0.65,2.32,0.1,0,0.385,2,0.54,1.20,0.56,0.44,0.44,0.0,0,1
ELCA98324631832984,Janice Harrison,,Sex 1,,39,2,,39.0,8.29,1.09,7.09,0.22,0.22,0.273,1,0.67,4.67,0.67,0.33,,0.2,0,1
ELUY21481757433388,Helen Barrett,,Sex 2,,24,17,,5.0,0.00,-0.75,0.00,0.0,#DIV/0!,0.000,0,-0.75,0.00,0.00,1.00,1.00,0.0,0,1
ENHC76445971816284,Emma Edwards,,Sex 2,,39,9,,30.0,4.01,0.72,4.01,0.15,0.00,0.600,0,0.57,3.20,0.57,0.43,,0.0,0,1
EQMR58673910671522,Dr Judith Smith,,Sex 2,,30,12,,19.0,1.78,0.51,1.78,0.23,0,0.333,1,0.28,1.17,0.33,0.67,0.33,0.0,0,1
ERTS74269958919246,Miss Kathleen Scott,,Sex 2,,33,10,,30.0,2.34,0.59,2.34,0.09,0.00,0.231,1,0.49,1.75,0.50,0.50,0.25,0.0,0,1
ETGD38365435361584,Clifford Smith,,Sex 2,,39,4,,38.0,5.61,0.84,5.61,0.17,0.11,0.636,3,0.67,3.73,0.67,0.33,,0.0,0,1
ETOX85559112874698,Gary Walker,,Sex 2,,34,3,,39.0,4.75,0.79,4.75,0.13,0.10,0.231,2,0.67,3.11,0.67,0.33,0.50,0.0,0,2
ETOX85559112874698,Gary Walker,,Sex 1,,24,8,,30.0,5.32,0.99,5.32,0.43,0.33,0.692,0,0.56,2.00,0.57,0.43,0.29,0.0,0,1
ETPK78417157799045,Vincent Wheeler,,Sex 1,,27,7,,36.5,2.43,0.73,2.43,0.07,0.00,0.429,0,0.66,1.87,0.67,0.33,0.25,0.0,1,1
ETVK30659600096519,Connor Brown,,Sex 2,,21,12,,22.0,1.79,0.69,1.79,0.26,0.00,0.750,0,0.43,1.00,0.50,0.50,0.50,0.0,0,1
EUCW19014055937934,Ellie Humphreys,,Sex 2,,21,8,,28.0,2.20,0.79,2.20,0.09,0.00,0.364,1,0.7,1.67,0.83,0.17,0.17,0.0,0,1
EUDW65994035842240,Edward Adams,,Sex 2,,33,16,,15.0,1.17,0.72,1.17,0.31,#DIV/0!,0.333,0,0.41,0.93,0.50,0.50,1.00,0.0,0,1
EUGK30897336512770,Mr Guy Morgan,23.7,Sex 1,1976-06-15,1,12,2000-03-13,15.0,2.95,1.01,2.95,0.41,#DIV/0!,0.444,1,0.6,2.33,0.67,0.33,0.33,0.0,0,1
EVPW34323868423540,Dr Kevin Powell,,Sex 1,,28,8,,28.0,2.43,0.56,2.43,0.26,0.00,0.583,0,0.3,0.72,0.33,0.67,0.67,0.0,0,1
EVRZ70483774653089,Mr Frederick Barnes,,Sex 2,,16,6,,33.0,4.25,0.74,4.25,0.245,0.17,0.538,0,0.49,2.33,0.50,0.50,0.17,0.0,1,1
EVZB11785317129252,Maurice Robertson,43.0,Sex 1,1958-07-22,3,7,2001-07-11,30.0,2.33,0.6,2.33,0.193,0.00,0.583,0,0.41,0.92,0.43,0.57,0.57,0.0,0,1
EWKK99024878624429,Ms Sheila Sinclair,,Sex 1,,21,17,,11.0,2.19,0.85,2.19,0.25,#DIV/0!,0.250,0,0.6,2.07,0.67,0.33,0.33,0.0,0,1
